year,country,region,happiness_rank,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,perceptions_of_corruption,dystopia_residual,standard_error,lower_ci,upper_ci,whisker_high,whisker_low
2015,South Korea,Eastern Asia,47,5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857,2.21978,0.04098,,,,
2015,Ecuador,Latin America and Caribbean,48,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,2.53942,0.04528,,,,
2015,Bahrain,Middle East and Northern Africa,49,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,1.73797,0.05412,,,,
2015,Italy,Western Europe,50,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,2.02518,0.03914,,,,
2015,Bolivia,Latin America and Caribbean,51,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,2.82334,0.05642,,,,
2015,Moldova,Central and Eastern Europe,52,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615,3.10712,0.03799,,,,
2015,Paraguay,Latin America and Caribbean,53,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,2.18896,0.04563,,,,
2015,Kazakhstan,Central and Eastern Europe,54,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,2.24729,0.04114,,,,
2015,Slovenia,Central and Eastern Europe,55,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787,1.61583,0.04251,,,,
2015,Lithuania,Central and Eastern Europe,56,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,2.44649,0.03843,,,,
2015,Nicaragua,Latin America and Caribbean,57,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,2.32407,0.05371,,,,
2015,Peru,Latin America and Caribbean,58,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,2.5945,0.04615,,,,
2015,Belarus,Central and Eastern Europe,59,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,2.1309,0.03938,,,,
2015,Poland,Central and Eastern Europe,60,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,1.86565,0.04263,,,,
2015,Malaysia,Southeastern Asia,61,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,1.88541,0.0433,,,,
2015,Croatia,Central and Eastern Europe,62,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,2.75414,0.04394,,,,
2015,Libya,Middle East and Northern Africa,63,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,2.09066,0.07832,,,,
2015,Russia,Central and Eastern Europe,64,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,2.27394,0.03135,,,,
2015,Jamaica,Latin America and Caribbean,65,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,2.32038,0.13693,,,,
2015,North Cyprus,Western Europe,66,5.695,1.20806,1.07008,0.92356,0.49027,0.26169,0.1428,1.59888,0.05635,,,,
2015,Cyprus,Western Europe,67,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,1.88931,0.0558,,,,
2015,Algeria,Middle East and Northern Africa,68,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,2.43209,0.05099,,,,
2015,Kosovo,Central and Eastern Europe,69,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741,2.76579,0.05018,,,,
2015,Turkmenistan,Central and Eastern Europe,70,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,1.86984,0.04175,,,,
2015,Mauritius,Sub-Saharan Africa,71,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,1.76145,0.07197,,,,
2015,Hong Kong,Eastern Asia,72,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,0.65429,0.05051,,,,
2015,Estonia,Central and Eastern Europe,73,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,1.58782,0.04013,,,,
2015,Indonesia,Southeastern Asia,74,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0,1.86399,0.02596,,,,
2015,Vietnam,Southeastern Asia,75,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,2.20173,0.03107,,,,
2015,Turkey,Middle East and Northern Africa,76,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,2.08528,0.03864,,,,
2015,Kyrgyzstan,Central and Eastern Europe,77,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,2.2327,0.03823,,,,
2015,Nigeria,Sub-Saharan Africa,78,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,2.89319,0.04192,,,,
2015,Bhutan,Southern Asia,79,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445,1.63794,0.03225,,,,
2015,Azerbaijan,Central and Eastern Europe,80,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,2.00073,0.03363,,,,
2015,Pakistan,Southern Asia,81,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,3.10709,0.03726,,,,
2015,Jordan,Middle East and Northern Africa,82,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,1.87996,0.04524,,,,
2015,Montenegro,Central and Eastern Europe,82,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,2.10017,0.05235,,,,
2015,China,Eastern Asia,84,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,1.8604,0.02424,,,,
2015,Zambia,Sub-Saharan Africa,85,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,2.6343,0.06988,,,,
2015,Romania,Central and Eastern Europe,86,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,1.93129,0.06607,,,,
2015,Serbia,Central and Eastern Europe,87,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,2.025,0.04864,,,,
2015,Portugal,Western Europe,88,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,1.26462,0.04802,,,,
2015,Latvia,Central and Eastern Europe,89,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,1.62215,0.0464,,,,
2015,Philippines,Southeastern Asia,90,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,1.7536,0.04934,,,,
2015,Somaliland region,Sub-Saharan Africa,91,5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928,2.11032,0.06161,,,,
2015,Morocco,Middle East and Northern Africa,92,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546,2.45373,0.0342,,,,
2015,Macedonia,Central and Eastern Europe,93,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327,1.73933,0.05376,,,,
2015,Mozambique,Sub-Saharan Africa,94,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,3.05137,0.07896,,,,
2015,Albania,Central and Eastern Europe,95,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,1.89894,0.05013,,,,
2015,Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,2.06367,0.06913,,,,
2015,Lesotho,Sub-Saharan Africa,97,4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504,2.79832,0.09438,,,,
2015,Dominican Republic,Latin America and Caribbean,98,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,1.21305,0.07446,,,,
2015,Laos,Southeastern Asia,99,4.876,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249,1.73799,0.06698,,,,
2015,Mongolia,Eastern Asia,100,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666,1.34759,0.03313,,,,
2015,Swaziland,Sub-Saharan Africa,101,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,2.48676,0.08742,,,,
2015,Greece,Western Europe,102,4.857,1.15406,0.92933,0.88213,0.07699,0.0,0.01397,1.80101,0.05062,,,,
2015,Lebanon,Middle East and Northern Africa,103,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582,1.57059,0.04337,,,,
2015,Hungary,Central and Eastern Europe,104,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,1.24074,0.06107,,,,
2015,Honduras,Latin America and Caribbean,105,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,1.84408,0.05648,,,,
2015,Tajikistan,Central and Eastern Europe,106,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,2.11399,0.03198,,,,
2015,Tunisia,Middle East and Northern Africa,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,2.12466,0.03589,,,,
2015,Palestinian Territories,Middle East and Northern Africa,108,4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905,2.04384,0.04394,,,,
2015,Bangladesh,Southern Asia,109,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,2.51767,0.03077,,,,
2015,Iran,Middle East and Northern Africa,110,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863,1.6944,0.04449,,,,
2015,Ukraine,Central and Eastern Europe,111,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,1.5714,0.04412,,,,
2015,Iraq,Middle East and Northern Africa,112,4.677,0.98549,0.81889,0.60237,0.0,0.17922,0.13788,1.95335,0.05232,,,,
2015,South Africa,Sub-Saharan Africa,113,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,1.71956,0.04585,,,,
2015,Ghana,Sub-Saharan Africa,114,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,2.30919,0.04742,,,,
2015,Zimbabwe,Sub-Saharan Africa,115,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,2.44191,0.0429,,,,
2015,Liberia,Sub-Saharan Africa,116,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232,2.77729,0.11068,,,,
2015,India,Southern Asia,117,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,2.27513,0.02043,,,,
2015,Sudan,Sub-Saharan Africa,118,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,2.20857,0.0674,,,,
2015,Haiti,Latin America and Caribbean,119,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,2.24173,0.07331,,,,
2015,Congo (Kinshasa),Sub-Saharan Africa,120,4.517,0.0,1.0012,0.09806,0.22605,0.24834,0.07625,2.86712,0.0368,,,,
2015,Nepal,Southern Asia,121,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907,1.95637,0.03607,,,,
2015,Ethiopia,Sub-Saharan Africa,122,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,2.44876,0.0378,,,,
2015,Sierra Leone,Sub-Saharan Africa,123,4.507,0.33024,0.95571,0.0,0.4084,0.21488,0.08786,2.51009,0.07068,,,,
2015,Mauritania,Sub-Saharan Africa,124,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461,2.11773,0.03947,,,,
2015,Kenya,Sub-Saharan Africa,125,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,1.78555,0.04734,,,,
2015,Djibouti,Sub-Saharan Africa,126,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,2.05125,0.08096,,,,
2015,Armenia,Central and Eastern Europe,127,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,1.75873,0.04763,,,,
2015,Botswana,Sub-Saharan Africa,128,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,1.46181,0.04934,,,,
2015,Myanmar,Southeastern Asia,129,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034,1.41805,0.04351,,,,
2015,Georgia,Central and Eastern Europe,130,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331,1.59541,0.04221,,,,
2015,Malawi,Sub-Saharan Africa,131,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977,2.80791,0.0613,,,,
2015,Sri Lanka,Southern Asia,132,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179,0.67108,0.03751,,,,
2015,Cameroon,Sub-Saharan Africa,133,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786,1.95071,0.04678,,,,
2015,Bulgaria,Central and Eastern Europe,134,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,0.89991,0.04828,,,,
2015,Egypt,Middle East and Northern Africa,135,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,1.59927,0.0326,,,,
2015,Yemen,Middle East and Northern Africa,136,4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854,1.92313,0.04367,,,,
2015,Angola,Sub-Saharan Africa,137,4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,1.94939,0.04758,,,,
2015,Mali,Sub-Saharan Africa,138,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352,1.79293,0.05602,,,,
2015,Congo (Brazzaville),Sub-Saharan Africa,139,3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686,1.68135,0.06682,,,,
2015,Comoros,Sub-Saharan Africa,140,3.956,0.23906,0.79273,0.36315,0.22917,0.17441,0.199,1.95812,0.04797,,,,
2015,Uganda,Sub-Saharan Africa,141,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,1.42766,0.04317,,,,
2015,Senegal,Sub-Saharan Africa,142,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713,1.44395,0.03608,,,,
2015,Gabon,Sub-Saharan Africa,143,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091,0.99895,0.04547,,,,
2015,Niger,Sub-Saharan Africa,144,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639,1.87877,0.03602,,,,
2015,Cambodia,Southeastern Asia,145,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,0.98195,0.05069,,,,
2015,Tanzania,Sub-Saharan Africa,146,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747,1.38079,0.05061,,,,
2015,Madagascar,Sub-Saharan Africa,147,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124,1.851,0.03633,,,,
2015,Central African Republic,Sub-Saharan Africa,148,3.678,0.0785,0.0,0.06699,0.48879,0.23835,0.08289,2.7223,0.06112,,,,
2015,Chad,Sub-Saharan Africa,149,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,1.94296,0.0383,,,,
2015,Guinea,Sub-Saharan Africa,150,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139,1.99172,0.0359,,,,
2015,Ivory Coast,Sub-Saharan Africa,151,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922,1.41723,0.05141,,,,
2015,Burkina Faso,Sub-Saharan Africa,152,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832,1.46494,0.04324,,,,
2015,Afghanistan,Southern Asia,153,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,1.9521,0.03084,,,,
2015,Rwanda,Sub-Saharan Africa,154,3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191,0.67042,0.03464,,,,
2015,Benin,Sub-Saharan Africa,155,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,1.63328,0.03656,,,,
2015,Syria,Middle East and Northern Africa,156,3.006,0.6632,0.47489,0.72193,0.15684,0.47179,0.18906,0.32858,0.05015,,,,
2015,Burundi,Sub-Saharan Africa,157,2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062,1.83302,0.08658,,,,
2015,Togo,Sub-Saharan Africa,158,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731,1.56726,0.06727,,,,
2016,Denmark,Western Europe,1,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,2.73939,,7.46,7.592,,
2016,Switzerland,Western Europe,2,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,2.69463,,7.428,7.59,,
2016,Iceland,Western Europe,3,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,2.83137,,7.333,7.669,,
2016,Norway,Western Europe,4,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,2.66465,,7.421,7.575,,
2016,Finland,Western Europe,5,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2.82596,,7.351,7.475,,
2016,Canada,North America,6,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2.70485,,7.335,7.473,,
2016,Netherlands,Western Europe,7,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,2.70749,,7.284,7.394,,
2016,New Zealand,Australia and New Zealand,8,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,2.47553,,7.264,7.404,,
2016,Australia,Australia and New Zealand,9,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,2.5465,,7.241,7.385,,
2016,Sweden,Western Europe,10,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,2.54734,,7.227,7.355,,
2016,Israel,Middle East and Northern Africa,11,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728,3.31029,,7.199,7.335,,
2016,Austria,Western Europe,12,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,2.69343,,7.045,7.193,,
2016,United States,North America,13,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,2.72782,,7.02,7.188,,
2016,Costa Rica,Latin America and Caribbean,14,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,3.35168,,6.999,7.175,,
2016,Puerto Rico,Latin America and Caribbean,15,7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275,3.0076,,6.794,7.284,,
2016,Germany,Western Europe,16,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,2.50931,,6.93,7.058,,
2016,Brazil,Latin America and Caribbean,17,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,3.50733,,6.875,7.029,,
2016,Belgium,Western Europe,18,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,2.61355,,6.861,6.997,,
2016,Ireland,Western Europe,19,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,2.15988,,6.836,6.978,,
2016,Luxembourg,Western Europe,20,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329,2.11055,,6.804,6.938,,
2016,Mexico,Latin America and Caribbean,21,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,3.55906,,6.68,6.876,,
2016,Singapore,Southeastern Asia,22,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987,1.99375,,6.674,6.804,,
2016,United Kingdom,Western Europe,23,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,2.14999,,6.647,6.803,,
2016,Chile,Latin America and Caribbean,24,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,2.95505,,6.615,6.795,,
2016,Panama,Latin America and Caribbean,25,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,3.00559,,6.601,6.801,,
2016,Argentina,Latin America and Caribbean,26,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,3.12985,,6.56,6.74,,
2016,Czech Republic,Central and Eastern Europe,27,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986,2.96211,,6.515,6.677,,
2016,United Arab Emirates,Middle East and Northern Africa,28,6.573,1.57352,0.87114,0.72993,0.56215,0.26591,0.35561,2.21507,,6.494,6.652,,
2016,Uruguay,Latin America and Caribbean,29,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394,2.67139,,6.456,6.634,,
2016,Malta,Western Europe,30,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,1.99032,,6.409,6.567,,
2016,Colombia,Latin America and Caribbean,31,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,3.17471,,6.384,6.578,,
2016,France,Western Europe,32,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,2.4744,,6.397,6.559,,
2016,Thailand,Southeastern Asia,33,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833,2.5796,,6.396,6.552,,
2016,Saudi Arabia,Middle East and Northern Africa,34,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008,2.61482,,6.287,6.471,,
2016,Taiwan,Eastern Asia,34,6.379,1.39729,0.92624,0.79565,0.32377,0.25495,0.0663,2.61523,,6.305,6.453,,
2016,Qatar,Middle East and Northern Africa,36,6.375,1.82427,0.87964,0.71723,0.56679,0.32388,0.48049,1.58224,,6.178,6.572,,
2016,Spain,Western Europe,37,6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137,2.39663,,6.288,6.434,,
2016,Algeria,Middle East and Northern Africa,38,6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157,3.40904,,6.227,6.483,,
2016,Guatemala,Latin America and Caribbean,39,6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701,3.19863,,6.213,6.435,,
2016,Suriname,Latin America and Caribbean,40,6.269,1.09686,0.77866,0.50933,0.52234,0.16665,0.12692,3.06852,,6.073,6.465,,
2016,Kuwait,Middle East and Northern Africa,41,6.239,1.61714,0.87758,0.63569,0.43166,0.15965,0.23669,2.28085,,6.154,6.324,,
2016,Bahrain,Middle East and Northern Africa,42,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772,2.27405,,6.128,6.308,,
